"Area","Kind","Condition"
9143.17117117117,"10ng_EGF+24","10ng_EGF"
2708.71171171171,"10ng_EGF+24","10ng_EGF"
22659.8888888889,"10ng_EGF+24","10ng_EGF"
4645.7027027027,"10ng_EGF+24","10ng_EGF"
11337.8260869565,"10ng_EGF+24","10ng_EGF"
5322.09009009009,"10ng_EGF+24","10ng_EGF"
14008.4925373134,"10ng_EGF+24","10ng_EGF"
6308.2619047619,"10ng_EGF+24","10ng_EGF"
8282.85074626866,"10ng_EGF+24","10ng_EGF"
23102.7926829268,"10ng_EGF+24","10ng_EGF"
4973.41176470588,"10ng_EGF+24","10ng_EGF"
14870.8198198198,"10ng_EGF+24","10ng_EGF"
16821.9016393443,"10ng_EGF+24","10ng_EGF"
12392.4144144144,"10ng_EGF+200","10ng_EGF"
21011.3461538462,"10ng_EGF+200","10ng_EGF"
28381.15,"10ng_EGF+200","10ng_EGF"
7720.31818181818,"10ng_EGF+200","10ng_EGF"
15825.3,"10ng_EGF+200","10ng_EGF"
14612.3,"10ng_EGF+200","10ng_EGF"
37998.0857142857,"10ng_EGF+200","10ng_EGF"
5999.29411764706,"10ng_EGF+200","10ng_EGF"
40847.44,"10ng_EGF+200","10ng_EGF"
29956.5609756098,"10ng_EGF+200","10ng_EGF"
63675.8846153846,"10ng_EGF+200","10ng_EGF"
6485.71428571429,"Control+0.2","Control"
3799.94805194805,"Control+0.2","Control"
4256.95495495495,"Control+0.2","Control"
7243.33333333333,"Control+0.2","Control"
3610.51282051282,"Control+0.2","Control"
25946.3333333333,"Control+0.2","Control"
12503.0666666667,"Control+0.2","Control"
25152.0540540541,"Control+0.2","Control"
28697.2252252252,"10ng_EGF+200","10ng_EGF"
12541.1470588235,"10ng_EGF+200","10ng_EGF"
4880.10344827586,"10ng_EGF+200","10ng_EGF"
4559.68674698795,"10ng_EGF+200","10ng_EGF"
19674.2619047619,"10ng_EGF+200","10ng_EGF"
19649.2,"10ng_EGF+200","10ng_EGF"
29487.9666666667,"10ng_EGF+200","10ng_EGF"
4898,"10ng_EGF+200","10ng_EGF"
23408.2647058824,"10ng_EGF+200","10ng_EGF"
6854.15841584158,"10ng_EGF+200","10ng_EGF"
6093.19736842105,"10ng_EGF+200","10ng_EGF"
11272.0735294118,"10ng_EGF+200","10ng_EGF"
19919.1886792453,"10ng_EGF+200","10ng_EGF"
10323.1981981982,"10ng_EGF+200","10ng_EGF"
28525.036036036,"10ng_EGF+200","10ng_EGF"
20012.3714285714,"10ng_EGF+200","10ng_EGF"
6668.15730337079,"10ng_EGF+200","10ng_EGF"
2259.3417721519,"10ng_EGF+200","10ng_EGF"
